MSSubClass,OverallCond,TotalBsmtSF,GrLivArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageArea,Age,SalePrice
60,5,856,1710,2,3,8,548,5,208500
20,8,1262,1262,2,3,6,460,31,181500
60,5,920,1786,2,3,6,608,7,223500
70,5,756,1717,1,3,7,642,91,140000
60,5,1145,2198,2,4,9,836,8,250000
50,5,796,1362,1,1,5,480,16,143000
20,5,1686,1694,2,3,7,636,3,307000
60,6,1107,2090,2,3,7,484,36,200000
50,5,952,1774,2,2,8,468,77,129900
190,6,991,1077,1,2,5,205,69,118000
20,5,1040,1040,1,3,5,384,43,129500
60,5,1175,2324,3,4,11,736,1,345000
20,6,912,912,1,2,4,352,46,144000
20,5,1494,1494,2,3,7,840,1,279500
20,5,1253,1253,1,2,5,352,48,157000
45,8,832,854,1,2,5,576,78,132000
20,7,1004,1004,1,2,5,480,40,149000
90,5,0,1296,2,2,6,516,39,90000
20,5,1114,1114,1,3,6,576,4,159000
20,6,1029,1339,1,3,6,294,51,139000
60,5,1158,2376,3,4,9,853,1,325300
45,7,637,1108,1,3,6,280,77,139400
20,5,1777,1795,2,3,7,534,6,230000
120,7,1040,1060,1,3,6,572,31,129900
20,8,1060,1060,1,3,6,270,42,154000
20,5,1566,1600,2,3,7,890,2,256300
20,7,900,900,1,3,5,576,59,134800
20,5,1704,1704,2,3,7,772,3,306000
20,6,1484,1600,1,2,6,319,49,207500
30,6,520,520,1,1,4,240,81,68500
70,4,649,1317,1,3,6,250,88,40000
20,6,1228,1228,1,3,6,271,42,149350
20,5,1234,1234,2,3,7,484,1,179900
20,5,1398,1700,1,4,6,447,51,165500
120,5,1561,1561,2,2,6,556,2,277500
60,5,1117,2452,3,4,9,691,2,309000
20,5,1097,1097,1,3,6,672,15,145000
20,6,1297,1297,1,3,5,498,55,153000
20,7,1057,1057,1,3,5,246,57,109000
90,5,0,1152,2,2,6,0,53,82000
20,5,1088,1324,2,3,6,440,41,160000
20,6,1350,1328,1,2,5,308,48,170000
85,7,840,884,1,2,5,504,24,144000
20,6,938,938,1,3,5,308,33,130250
20,6,1150,1150,1,3,6,300,47,141000
120,5,1752,1752,2,2,6,576,5,319900
50,5,1434,2149,1,1,6,670,6,239686
20,5,1656,1656,2,3,7,826,1,249700
190,5,736,1452,2,2,8,0,89,113000
20,7,955,955,1,3,6,386,41,127000
60,6,794,1470,2,3,6,388,10,177000
50,6,816,1176,1,3,6,528,72,114500
90,5,816,816,1,2,5,516,47,110000
20,5,1842,1842,0,0,5,894,25,385000
80,5,384,1360,1,3,6,572,52,130000
20,5,1425,1425,2,3,7,576,44,180500
160,5,970,1739,2,3,7,480,10,172500
60,5,860,1720,2,3,7,565,2,196500
60,5,1410,2945,3,3,10,641,0,438780
20,7,780,780,1,2,4,352,36,124900
20,5,1158,1158,1,3,5,576,2,158000
75,7,530,1111,1,3,6,288,87,101000
120,5,1370,1370,2,2,6,484,1,202500
70,6,576,1710,2,3,9,480,89,140000
60,5,1057,2034,2,3,8,645,12,219500
