MSSubClass,MSZoning,LotArea,Utilities,Neighborhood,OverallCond,RoofMatl,Exterior1st,ExterCond,Foundation,TotalBsmtSF,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageArea,PavedDrive,SaleType,SalePrice,Age
60,RL,8450,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,856,Y,1710,2,1,3,1,8,548,Y,WD,208500,5
20,RL,9600,AllPub,Veenker,8,CompShg,MetalSd,TA,CBlock,1262,Y,1262,2,0,3,1,6,460,Y,WD,181500,31
60,RL,11250,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,920,Y,1786,2,1,3,1,6,608,Y,WD,223500,7
70,RL,9550,AllPub,Crawfor,5,CompShg,Wd Sdng,TA,BrkTil,756,Y,1717,1,0,3,1,7,642,Y,WD,140000,91
60,RL,14260,AllPub,NoRidge,5,CompShg,VinylSd,TA,PConc,1145,Y,2198,2,1,4,1,9,836,Y,WD,250000,8
50,RL,14115,AllPub,Mitchel,5,CompShg,VinylSd,TA,Wood,796,Y,1362,1,1,1,1,5,480,Y,WD,143000,16
20,RL,10084,AllPub,Somerst,5,CompShg,VinylSd,TA,PConc,1686,Y,1694,2,0,3,1,7,636,Y,WD,307000,3
60,RL,10382,AllPub,NWAmes,6,CompShg,HdBoard,TA,CBlock,1107,Y,2090,2,1,3,1,7,484,Y,WD,200000,36
50,RM,6120,AllPub,OldTown,5,CompShg,BrkFace,TA,BrkTil,952,Y,1774,2,0,2,2,8,468,Y,WD,129900,77
190,RL,7420,AllPub,BrkSide,6,CompShg,MetalSd,TA,BrkTil,991,Y,1077,1,0,2,2,5,205,Y,WD,118000,69
20,RL,11200,AllPub,Sawyer,5,CompShg,HdBoard,TA,CBlock,1040,Y,1040,1,0,3,1,5,384,Y,WD,129500,43
60,RL,11924,AllPub,NridgHt,5,CompShg,WdShing,TA,PConc,1175,Y,2324,3,0,4,1,11,736,Y,New,345000,1
20,RL,12968,AllPub,Sawyer,6,CompShg,HdBoard,TA,CBlock,912,Y,912,1,0,2,1,4,352,Y,WD,144000,46
20,RL,10652,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,1494,Y,1494,2,0,3,1,7,840,Y,New,279500,1
20,RL,10920,AllPub,NAmes,5,CompShg,MetalSd,TA,CBlock,1253,Y,1253,1,1,2,1,5,352,Y,WD,157000,48
45,RM,6120,AllPub,BrkSide,8,CompShg,Wd Sdng,TA,BrkTil,832,Y,854,1,0,2,1,5,576,Y,WD,132000,78
20,RL,11241,AllPub,NAmes,7,CompShg,Wd Sdng,TA,CBlock,1004,Y,1004,1,0,2,1,5,480,Y,WD,149000,40
90,RL,10791,AllPub,Sawyer,5,CompShg,MetalSd,TA,Slab,0,Y,1296,2,0,2,2,6,516,Y,WD,90000,39
20,RL,13695,AllPub,SawyerW,5,CompShg,VinylSd,TA,PConc,1114,Y,1114,1,1,3,1,6,576,Y,WD,159000,4
20,RL,7560,AllPub,NAmes,6,CompShg,BrkFace,TA,CBlock,1029,Y,1339,1,0,3,1,6,294,Y,COD,139000,51
60,RL,14215,AllPub,NridgHt,5,CompShg,VinylSd,TA,PConc,1158,Y,2376,3,1,4,1,9,853,Y,New,325300,1
45,RM,7449,AllPub,IDOTRR,7,CompShg,Wd Sdng,TA,PConc,637,Y,1108,1,0,3,1,6,280,N,WD,139400,77
20,RL,9742,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,1777,Y,1795,2,0,3,1,7,534,Y,WD,230000,6
120,RM,4224,AllPub,MeadowV,7,CompShg,CemntBd,TA,PConc,1040,Y,1060,1,0,3,1,6,572,Y,WD,129900,31
20,RL,8246,AllPub,Sawyer,8,CompShg,Plywood,Gd,CBlock,1060,Y,1060,1,0,3,1,6,270,Y,WD,154000,42
20,RL,14230,AllPub,NridgHt,5,CompShg,VinylSd,TA,PConc,1566,Y,1600,2,0,3,1,7,890,Y,WD,256300,2
20,RL,7200,AllPub,NAmes,7,CompShg,Wd Sdng,TA,CBlock,900,Y,900,1,0,3,1,5,576,Y,WD,134800,59
20,RL,11478,AllPub,NridgHt,5,CompShg,VinylSd,TA,PConc,1704,Y,1704,2,0,3,1,7,772,Y,WD,306000,3
20,RL,16321,AllPub,NAmes,6,CompShg,MetalSd,TA,CBlock,1484,Y,1600,1,0,2,1,6,319,Y,WD,207500,49
30,RM,6324,AllPub,BrkSide,6,CompShg,MetalSd,TA,BrkTil,520,N,520,1,0,1,1,4,240,Y,WD,68500,81
70,C (all),8500,AllPub,IDOTRR,4,CompShg,BrkFace,Fa,BrkTil,649,N,1317,1,0,3,1,6,250,N,WD,40000,88
20,RL,8544,AllPub,Sawyer,6,CompShg,HdBoard,TA,CBlock,1228,Y,1228,1,1,3,1,6,271,Y,WD,149350,42
20,RL,11049,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,1234,Y,1234,2,0,3,1,7,484,Y,WD,179900,1
20,RL,10552,AllPub,NAmes,5,CompShg,BrkFace,TA,CBlock,1398,Y,1700,1,1,4,1,6,447,Y,WD,165500,51
120,RL,7313,AllPub,NridgHt,5,CompShg,MetalSd,TA,PConc,1561,Y,1561,2,0,2,1,6,556,Y,WD,277500,2
60,RL,13418,AllPub,NridgHt,5,CompShg,VinylSd,TA,PConc,1117,Y,2452,3,1,4,1,9,691,Y,WD,309000,2
20,RL,10859,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,1097,Y,1097,1,1,3,1,6,672,Y,WD,145000,15
20,RL,8532,AllPub,NAmes,6,CompShg,Wd Sdng,TA,CBlock,1297,Y,1297,1,0,3,1,5,498,Y,WD,153000,55
20,RL,7922,AllPub,NAmes,7,CompShg,VinylSd,Gd,CBlock,1057,Y,1057,1,0,3,1,5,246,Y,WD,109000,57
90,RL,6040,AllPub,Edwards,5,CompShg,AsbShng,TA,PConc,0,N,1152,2,0,2,2,6,0,N,WD,82000,53
20,RL,8658,AllPub,NAmes,5,CompShg,Wd Sdng,TA,CBlock,1088,Y,1324,2,0,3,1,6,440,Y,WD,160000,41
20,RL,16905,AllPub,Timber,6,CompShg,VinylSd,Gd,CBlock,1350,Y,1328,1,1,2,1,5,308,P,WD,170000,48
85,RL,9180,AllPub,SawyerW,7,CompShg,HdBoard,TA,CBlock,840,Y,884,1,0,2,1,5,504,Y,WD,144000,24
20,RL,9200,AllPub,CollgCr,6,CompShg,VinylSd,TA,CBlock,938,Y,938,1,0,3,1,5,308,Y,WD,130250,33
20,RL,7945,AllPub,NAmes,6,CompShg,BrkFace,TA,CBlock,1150,Y,1150,1,0,3,1,6,300,Y,WD,141000,47
120,RL,7658,AllPub,NridgHt,5,CompShg,MetalSd,TA,PConc,1752,Y,1752,2,0,2,1,6,576,Y,WD,319900,5
