MSSubClass,MSZoning,LotArea,Utilities,Neighborhood,OverallCond,TotalBsmtSF,RoofMatl,BedroomAbvGr,Foundation,HouseStyle,CentralAir,ExterCond,GrLivArea,Fireplaces,KitchenAbvGr,TotRmsAbvGrd,GarageType,GarageArea,PavedDrive,SalePrice,Age
60,RL,8450,AllPub,CollgCr,5,856,CompShg,3,PConc,2Story,Y,TA,1710,0,1,8,Attchd,548,Y,208500,5
20,RL,9600,AllPub,Veenker,8,1262,CompShg,3,CBlock,1Story,Y,TA,1262,1,1,6,Attchd,460,Y,181500,31
60,RL,11250,AllPub,CollgCr,5,920,CompShg,3,PConc,2Story,Y,TA,1786,1,1,6,Attchd,608,Y,223500,7
70,RL,9550,AllPub,Crawfor,5,756,CompShg,3,BrkTil,2Story,Y,TA,1717,1,1,7,Detchd,642,Y,140000,91
60,RL,14260,AllPub,NoRidge,5,1145,CompShg,4,PConc,2Story,Y,TA,2198,1,1,9,Attchd,836,Y,250000,8
50,RL,14115,AllPub,Mitchel,5,796,CompShg,1,Wood,1.5Fin,Y,TA,1362,0,1,5,Attchd,480,Y,143000,16
20,RL,10084,AllPub,Somerst,5,1686,CompShg,3,PConc,1Story,Y,TA,1694,1,1,7,Attchd,636,Y,307000,3
60,RL,10382,AllPub,NWAmes,6,1107,CompShg,3,CBlock,2Story,Y,TA,2090,2,1,7,Attchd,484,Y,200000,36
50,RM,6120,AllPub,OldTown,5,952,CompShg,2,BrkTil,1.5Fin,Y,TA,1774,2,2,8,Detchd,468,Y,129900,77
190,RL,7420,AllPub,BrkSide,6,991,CompShg,2,BrkTil,1.5Unf,Y,TA,1077,2,2,5,Attchd,205,Y,118000,69
20,RL,11200,AllPub,Sawyer,5,1040,CompShg,3,CBlock,1Story,Y,TA,1040,0,1,5,Detchd,384,Y,129500,43
60,RL,11924,AllPub,NridgHt,5,1175,CompShg,4,PConc,2Story,Y,TA,2324,2,1,11,BuiltIn,736,Y,345000,1
20,RL,12968,AllPub,Sawyer,6,912,CompShg,2,CBlock,1Story,Y,TA,912,0,1,4,Detchd,352,Y,144000,46
20,RL,10652,AllPub,CollgCr,5,1494,CompShg,3,PConc,1Story,Y,TA,1494,1,1,7,Attchd,840,Y,279500,1
20,RL,10920,AllPub,NAmes,5,1253,CompShg,2,CBlock,1Story,Y,TA,1253,1,1,5,Attchd,352,Y,157000,48
45,RM,6120,AllPub,BrkSide,8,832,CompShg,2,BrkTil,1.5Unf,Y,TA,854,0,1,5,Detchd,576,Y,132000,78
20,RL,11241,AllPub,NAmes,7,1004,CompShg,2,CBlock,1Story,Y,TA,1004,1,1,5,Attchd,480,Y,149000,40
90,RL,10791,AllPub,Sawyer,5,0,CompShg,2,Slab,1Story,Y,TA,1296,0,2,6,CarPort,516,Y,90000,39
20,RL,13695,AllPub,SawyerW,5,1114,CompShg,3,PConc,1Story,Y,TA,1114,0,1,6,Detchd,576,Y,159000,4
20,RL,7560,AllPub,NAmes,6,1029,CompShg,3,CBlock,1Story,Y,TA,1339,0,1,6,Attchd,294,Y,139000,51
60,RL,14215,AllPub,NridgHt,5,1158,CompShg,4,PConc,2Story,Y,TA,2376,1,1,9,BuiltIn,853,Y,325300,1
45,RM,7449,AllPub,IDOTRR,7,637,CompShg,3,PConc,1.5Unf,Y,TA,1108,1,1,6,Attchd,280,N,139400,77
20,RL,9742,AllPub,CollgCr,5,1777,CompShg,3,PConc,1Story,Y,TA,1795,1,1,7,Attchd,534,Y,230000,6
120,RM,4224,AllPub,MeadowV,7,1040,CompShg,3,PConc,1Story,Y,TA,1060,1,1,6,Attchd,572,Y,129900,31
20,RL,8246,AllPub,Sawyer,8,1060,CompShg,3,CBlock,1Story,Y,Gd,1060,1,1,6,Attchd,270,Y,154000,42
20,RL,14230,AllPub,NridgHt,5,1566,CompShg,3,PConc,1Story,Y,TA,1600,1,1,7,Attchd,890,Y,256300,2
