MSSubClass,MSZoning,LotArea,Utilities,Neighborhood,OverallCond,YearBuilt,RoofMatl,Exterior1st,ExterCond,Foundation,TotalBsmtSF,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageType,GarageCars,GarageArea,PavedDrive,YrSold,SaleType,SalePrice
60,RL,8450,AllPub,CollgCr,5,2003,CompShg,VinylSd,TA,PConc,856,Y,1710,2,1,3,1,8,Attchd,2,548,Y,2008,WD,208500
20,RL,9600,AllPub,Veenker,8,1976,CompShg,MetalSd,TA,CBlock,1262,Y,1262,2,0,3,1,6,Attchd,2,460,Y,2007,WD,181500
60,RL,11250,AllPub,CollgCr,5,2001,CompShg,VinylSd,TA,PConc,920,Y,1786,2,1,3,1,6,Attchd,2,608,Y,2008,WD,223500
70,RL,9550,AllPub,Crawfor,5,1915,CompShg,Wd Sdng,TA,BrkTil,756,Y,1717,1,0,3,1,7,Detchd,3,642,Y,2006,WD,140000
60,RL,14260,AllPub,NoRidge,5,2000,CompShg,VinylSd,TA,PConc,1145,Y,2198,2,1,4,1,9,Attchd,3,836,Y,2008,WD,250000
50,RL,14115,AllPub,Mitchel,5,1993,CompShg,VinylSd,TA,Wood,796,Y,1362,1,1,1,1,5,Attchd,2,480,Y,2009,WD,143000
20,RL,10084,AllPub,Somerst,5,2004,CompShg,VinylSd,TA,PConc,1686,Y,1694,2,0,3,1,7,Attchd,2,636,Y,2007,WD,307000
60,RL,10382,AllPub,NWAmes,6,1973,CompShg,HdBoard,TA,CBlock,1107,Y,2090,2,1,3,1,7,Attchd,2,484,Y,2009,WD,200000
50,RM,6120,AllPub,OldTown,5,1931,CompShg,BrkFace,TA,BrkTil,952,Y,1774,2,0,2,2,8,Detchd,2,468,Y,2008,WD,129900
190,RL,7420,AllPub,BrkSide,6,1939,CompShg,MetalSd,TA,BrkTil,991,Y,1077,1,0,2,2,5,Attchd,1,205,Y,2008,WD,118000
20,RL,11200,AllPub,Sawyer,5,1965,CompShg,HdBoard,TA,CBlock,1040,Y,1040,1,0,3,1,5,Detchd,1,384,Y,2008,WD,129500
60,RL,11924,AllPub,NridgHt,5,2005,CompShg,WdShing,TA,PConc,1175,Y,2324,3,0,4,1,11,BuiltIn,3,736,Y,2006,New,345000
20,RL,12968,AllPub,Sawyer,6,1962,CompShg,HdBoard,TA,CBlock,912,Y,912,1,0,2,1,4,Detchd,1,352,Y,2008,WD,144000
20,RL,10652,AllPub,CollgCr,5,2006,CompShg,VinylSd,TA,PConc,1494,Y,1494,2,0,3,1,7,Attchd,3,840,Y,2007,New,279500
