MSSubClass,LotArea,Utilities,OverallCond,RoofMatl,Foundation,CentralAir,GrLivArea,KitchenAbvGr,TotRmsAbvGrd,GarageType,GarageArea,PavedDrive,SalePrice,Age
60,8450,AllPub,5,CompShg,PConc,Y,1710,1,8,Attchd,548,Y,208500,5
20,9600,AllPub,8,CompShg,CBlock,Y,1262,1,6,Attchd,460,Y,181500,31
60,11250,AllPub,5,CompShg,PConc,Y,1786,1,6,Attchd,608,Y,223500,7
70,9550,AllPub,5,CompShg,BrkTil,Y,1717,1,7,Detchd,642,Y,140000,91
60,14260,AllPub,5,CompShg,PConc,Y,2198,1,9,Attchd,836,Y,250000,8
50,14115,AllPub,5,CompShg,Wood,Y,1362,1,5,Attchd,480,Y,143000,16
20,10084,AllPub,5,CompShg,PConc,Y,1694,1,7,Attchd,636,Y,307000,3
60,10382,AllPub,6,CompShg,CBlock,Y,2090,1,7,Attchd,484,Y,200000,36
50,6120,AllPub,5,CompShg,BrkTil,Y,1774,2,8,Detchd,468,Y,129900,77
190,7420,AllPub,6,CompShg,BrkTil,Y,1077,2,5,Attchd,205,Y,118000,69
20,11200,AllPub,5,CompShg,CBlock,Y,1040,1,5,Detchd,384,Y,129500,43
60,11924,AllPub,5,CompShg,PConc,Y,2324,1,11,BuiltIn,736,Y,345000,1
20,12968,AllPub,6,CompShg,CBlock,Y,912,1,4,Detchd,352,Y,144000,46
20,10652,AllPub,5,CompShg,PConc,Y,1494,1,7,Attchd,840,Y,279500,1
20,10920,AllPub,5,CompShg,CBlock,Y,1253,1,5,Attchd,352,Y,157000,48
45,6120,AllPub,8,CompShg,BrkTil,Y,854,1,5,Detchd,576,Y,132000,78
20,11241,AllPub,7,CompShg,CBlock,Y,1004,1,5,Attchd,480,Y,149000,40
90,10791,AllPub,5,CompShg,Slab,Y,1296,2,6,CarPort,516,Y,90000,39
20,13695,AllPub,5,CompShg,PConc,Y,1114,1,6,Detchd,576,Y,159000,4
20,7560,AllPub,6,CompShg,CBlock,Y,1339,1,6,Attchd,294,Y,139000,51
60,14215,AllPub,5,CompShg,PConc,Y,2376,1,9,BuiltIn,853,Y,325300,1
45,7449,AllPub,7,CompShg,PConc,Y,1108,1,6,Attchd,280,N,139400,77
20,9742,AllPub,5,CompShg,PConc,Y,1795,1,7,Attchd,534,Y,230000,6
120,4224,AllPub,7,CompShg,PConc,Y,1060,1,6,Attchd,572,Y,129900,31
20,8246,AllPub,8,CompShg,CBlock,Y,1060,1,6,Attchd,270,Y,154000,42
20,14230,AllPub,5,CompShg,PConc,Y,1600,1,7,Attchd,890,Y,256300,2
20,7200,AllPub,7,CompShg,CBlock,Y,900,1,5,Detchd,576,Y,134800,59
20,11478,AllPub,5,CompShg,PConc,Y,1704,1,7,Attchd,772,Y,306000,3
20,16321,AllPub,6,CompShg,CBlock,Y,1600,1,6,Attchd,319,Y,207500,49
30,6324,AllPub,6,CompShg,BrkTil,N,520,1,4,Detchd,240,Y,68500,81
