MSSubClass,LotArea,OverallCond,Exterior1st,TotalBsmtSF,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageArea,Neighborhood,Age,SalePrice
60,8450,5,VinylSd,856,Y,1710,2,1,3,1,8,548,CollgCr,5,208500
20,9600,8,MetalSd,1262,Y,1262,2,0,3,1,6,460,Veenker,31,181500
60,11250,5,VinylSd,920,Y,1786,2,1,3,1,6,608,CollgCr,7,223500
70,9550,5,Wd Sdng,756,Y,1717,1,0,3,1,7,642,Crawfor,91,140000
60,14260,5,VinylSd,1145,Y,2198,2,1,4,1,9,836,NoRidge,8,250000
50,14115,5,VinylSd,796,Y,1362,1,1,1,1,5,480,Mitchel,16,143000
20,10084,5,VinylSd,1686,Y,1694,2,0,3,1,7,636,Somerst,3,307000
60,10382,6,HdBoard,1107,Y,2090,2,1,3,1,7,484,NWAmes,36,200000
50,6120,5,BrkFace,952,Y,1774,2,0,2,2,8,468,OldTown,77,129900
190,7420,6,MetalSd,991,Y,1077,1,0,2,2,5,205,BrkSide,69,118000
20,11200,5,HdBoard,1040,Y,1040,1,0,3,1,5,384,Sawyer,43,129500
60,11924,5,WdShing,1175,Y,2324,3,0,4,1,11,736,NridgHt,1,345000
20,12968,6,HdBoard,912,Y,912,1,0,2,1,4,352,Sawyer,46,144000
20,10652,5,VinylSd,1494,Y,1494,2,0,3,1,7,840,CollgCr,1,279500
20,10920,5,MetalSd,1253,Y,1253,1,1,2,1,5,352,NAmes,48,157000
45,6120,8,Wd Sdng,832,Y,854,1,0,2,1,5,576,BrkSide,78,132000
20,11241,7,Wd Sdng,1004,Y,1004,1,0,2,1,5,480,NAmes,40,149000
90,10791,5,MetalSd,0,Y,1296,2,0,2,2,6,516,Sawyer,39,90000
20,13695,5,VinylSd,1114,Y,1114,1,1,3,1,6,576,SawyerW,4,159000
20,7560,6,BrkFace,1029,Y,1339,1,0,3,1,6,294,NAmes,51,139000
60,14215,5,VinylSd,1158,Y,2376,3,1,4,1,9,853,NridgHt,1,325300
45,7449,7,Wd Sdng,637,Y,1108,1,0,3,1,6,280,IDOTRR,77,139400
20,9742,5,VinylSd,1777,Y,1795,2,0,3,1,7,534,CollgCr,6,230000
120,4224,7,CemntBd,1040,Y,1060,1,0,3,1,6,572,MeadowV,31,129900
20,8246,8,Plywood,1060,Y,1060,1,0,3,1,6,270,Sawyer,42,154000
20,14230,5,VinylSd,1566,Y,1600,2,0,3,1,7,890,NridgHt,2,256300
20,7200,7,Wd Sdng,900,Y,900,1,0,3,1,5,576,NAmes,59,134800
20,11478,5,VinylSd,1704,Y,1704,2,0,3,1,7,772,NridgHt,3,306000
20,16321,6,MetalSd,1484,Y,1600,1,0,2,1,6,319,NAmes,49,207500
30,6324,6,MetalSd,520,N,520,1,0,1,1,4,240,BrkSide,81,68500
70,8500,4,BrkFace,649,N,1317,1,0,3,1,6,250,IDOTRR,88,40000
20,8544,6,HdBoard,1228,Y,1228,1,1,3,1,6,271,Sawyer,42,149350
20,11049,5,VinylSd,1234,Y,1234,2,0,3,1,7,484,CollgCr,1,179900
